tier,block_id,scenario_id,model_condition,run_order,branch_order,event_family,difficulty,season,location_id,activation_step,horizon_intervals,horizon_hours,canonical_soc_kwh,stale_soc_kwh,soc_gap_signed_kwh,soc_gap_abs_kwh,soc_gap_direction,divergence_kwh,B_kwh,Wc_kwh,Ws_kwh,ED_kwh,B_avg_kw,Wc_avg_kw,Ws_avg_kw,ED_avg_kw,B_fraction_pairwise_max,ED_fraction_theoretical_max,B_per_soc_gap,ED_per_soc_gap,B_per_battery_capacity,ED_per_battery_capacity,terminal_alignment_kwh,mpc_alignment_kwh,soc_direction_net_energy_kwh,canonical_minus_stale_net_energy_kwh,block_span_seconds,C_duplicate_start_gap_seconds,S_duplicate_start_gap_seconds,mean_latency_seconds,alignment_power_violation_peak_kw,alignment_power_violation_energy_kwh,alignment_soc_lower_violation_peak_kwh,alignment_soc_lower_violation_sum_kwh_steps,alignment_soc_upper_violation_peak_kwh,alignment_soc_upper_violation_sum_kwh_steps,alignment_export_violation_peak_kw,alignment_export_violation_energy_kwh,alignment_terminal_absolute_error_kwh,alignment_violation_interval_count,alignment_total_violation_energy
F0,e2bv2f0_1644a95691ea5adfdc5f,v2e2_47a354a03084871e0ca3,deepseek_formal,16,S2-C1-S1-C2,export_limit_update,medium,autumn,san_diego,6,90,22.5,200.0,250.0,-50.0,50.0,canonical_lower,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.351623058319092,2.899764060974121,3.9398601055145264,1.5682512499999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F0,e2bv2f0_17c91b367fa71742f640,v2e2_16c288d882ac6a326385,deepseek_formal,8,C1-S1-C2-S2,battery_capacity_derating,easy,spring,fresno,4,92,23.0,200.0,250.0,-50.0,50.0,canonical_lower,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5773539543151855,5.35741400718689,2.455960988998413,1.87427375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F0,e2bv2f0_27a21545db40ecf737bb,v2e2_01647af4ab413aad9430,qwen_flash,1,C2-S2-C1-S1,power_limit_derating,hard,winter,sacramento,5,91,22.75,175.0,250.0,-75.0,75.0,canonical_lower,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.304790019989014,3.9853360652923584,2.12288498878479,1.54773325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F0,e2bv2f0_35ac77c2c0156fd6d953,v2e2_b7e962716394d888d563,deepseek_formal,26,C1-S1-C2-S2,forecast_revision,easy,autumn,sacramento,5,91,22.75,150.0,250.0,-100.0,100.0,canonical_lower,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.470088005065918,3.4778881072998047,2.0251970291137695,1.34707125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F0,e2bv2f0_36ed3d417a3fc5be5e13,v2e2_7778cc641046e1b0a2cd,deepseek_formal,20,S2-C1-S1-C2,forecast_revision,hard,autumn,san_diego,14,82,20.5,175.0,250.0,-75.0,75.0,canonical_lower,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.181435823440552,1.7618999481201172,3.060330867767334,1.274057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F0,e2bv2f0_3e0d32b95f0e02d4742d,v2e2_7b2e0628b0d7b7a4badd,qwen_flash,23,S2-C1-S1-C2,power_limit_derating,medium,summer,fresno,4,92,23.0,350.0,250.0,100.0,100.0,canonical_higher,100.0,3411.6187499999996,7.762499999999997,0.0,6815.474999999999,148.33124999999998,0.33749999999999986,0.0,296.325,0.2966625,0.29632499999999995,34.116187499999995,68.15474999999999,6.823237499999999,13.630949999999999,3591.177631578943,2764.9625,-3411.6187499999987,3411.6187499999987,4.766952991485596,1.6768250465393066,2.276991128921509,1.16921025,0.0,0.0,3356.578947368417,144389.4736842104,0.0,0.0,0.0,0.0,3591.177631578943,86.0,144389.47368421042
F0,e2bv2f0_4fe8a17a967cb54e1d6b,v2e2_7f938d120000eec26457,deepseek_formal,24,S1-C2-S2-C1,battery_capacity_derating,easy,summer,los_angeles,8,88,22.0,175.0,250.0,-75.0,75.0,canonical_lower,75.0,5000.0,0.0,0.0,10000.0,227.27272727272728,0.0,0.0,454.54545454545456,0.45454545454545453,0.45454545454545453,66.66666666666667,133.33333333333334,10.0,20.0,5006.578947368423,0.0,-5000.0,-5000.0,7.765017032623291,3.867070198059082,3.962743043899536,1.9164039999999998,0.0,0.0,-2294.0789473684226,-84326.15131578957,4940.0,207978.75,0.0,0.0,5006.578947368423,11.0,123652.59868421036
F0,e2bv2f0_50a2a6abd01df20d7ad8,v2e2_16b5f26ad506f7afac02,deepseek_formal,6,C1-S1-C2-S2,export_limit_update,medium,autumn,san_diego,15,81,20.25,175.0,250.0,-75.0,75.0,canonical_lower,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.454570770263672,2.9306769371032715,1.9591360092163086,1.3338112500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F0,e2bv2f0_540944604cad868d5720,v2e2_b7e962716394d888d563,qwen_flash,27,C1-S1-C2-S2,forecast_revision,easy,autumn,sacramento,5,91,22.75,150.0,250.0,-100.0,100.0,canonical_lower,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8935840129852295,2.851155996322632,1.972088098526001,1.1965910000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F0,e2bv2f0_579d1e260de002e303e1,v2e2_16c288d882ac6a326385,qwen_flash,9,C1-S1-C2-S2,battery_capacity_derating,easy,spring,fresno,4,92,23.0,200.0,250.0,-50.0,50.0,canonical_lower,50.0,1150.0,2300.0,0.0,0.0,50.0,100.0,0.0,0.0,0.1,0.0,23.0,0.0,2.3,0.0,1210.5263157894788,1106.25,1150.0,1150.0,6.328597068786621,3.8866589069366455,1.9885149002075195,1.557354,0.0,0.0,1210.5263157894788,56250.00000000009,0.0,0.0,24.923992999999996,11.377734874999994,1210.5263157894788,1.0,56261.377734875074
