scenario_id,model_condition,F1_B_kwh,F0_B_kwh,delta_B_kwh,F1_Wc_kwh,F0_Wc_kwh,delta_Wc_kwh,F1_Ws_kwh,F0_Ws_kwh,delta_Ws_kwh,F1_ED_kwh,F0_ED_kwh,delta_ED_kwh,F1_ED_avg_kw,F0_ED_avg_kw,delta_ED_avg_kw,F1_ED_per_soc_gap,F0_ED_per_soc_gap,delta_ED_per_soc_gap,F1_terminal_alignment_kwh,F0_terminal_alignment_kwh,delta_terminal_alignment_kwh,F1_mpc_alignment_kwh,F0_mpc_alignment_kwh,delta_mpc_alignment_kwh,F1_soc_direction_net_energy_kwh,F0_soc_direction_net_energy_kwh,delta_soc_direction_net_energy_kwh,complete_block_exact_repeat
v2e2_47a354a03084871e0ca3,deepseek_formal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
v2e2_16c288d882ac6a326385,deepseek_formal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
v2e2_01647af4ab413aad9430,qwen_flash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
v2e2_b7e962716394d888d563,deepseek_formal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
v2e2_7778cc641046e1b0a2cd,deepseek_formal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
v2e2_7b2e0628b0d7b7a4badd,qwen_flash,0.0,3411.6187499999996,3411.6187499999996,0.0,7.762499999999997,7.762499999999997,0.0,0.0,0.0,0.0,6815.474999999999,6815.474999999999,0.0,296.325,296.325,0.0,68.15474999999999,68.15474999999999,0.0,3591.177631578943,3591.177631578943,0.0,2764.9625,2764.9625,-0.0,-3411.6187499999987,-3411.6187499999987,False
v2e2_7f938d120000eec26457,deepseek_formal,5250.0,5000.0,-250.0,0.0,0.0,0.0,5500.0,0.0,-5500.0,5000.0,10000.0,5000.0,227.27272727272728,454.54545454545456,227.27272727272728,66.66666666666667,133.33333333333334,66.66666666666667,2544.0789473684226,5006.578947368423,2462.5,-2486.8421052631584,0.0,2486.8421052631584,-2250.0,-5000.0,-2750.0,False
v2e2_16b5f26ad506f7afac02,deepseek_formal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
v2e2_b7e962716394d888d563,qwen_flash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
v2e2_16c288d882ac6a326385,qwen_flash,0.0,1150.0,1150.0,0.0,2300.0,2300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1210.5263157894788,1210.5263157894788,0.0,1106.25,1106.25,0.0,1150.0,1150.0,False
v2e2_28d9724eea09520d5cd7,qwen_flash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
