scenario_id,model_condition,branch,prompt_hash_equal,request_payload_hash_equal,returned_model_equal,f1_system_fingerprint,f0_system_fingerprint,system_fingerprint_available_both,system_fingerprint_equal_when_available,exact_action_repeat,cross_window_action_distance_kwh,f1_action_energy_kwh,f0_action_energy_kwh
v2e2_01647af4ab413aad9430,deepseek_formal,C1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_01647af4ab413aad9430,deepseek_formal,C2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_01647af4ab413aad9430,deepseek_formal,S1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_01647af4ab413aad9430,deepseek_formal,S2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_01647af4ab413aad9430,qwen_flash,C1,True,True,True,,,False,False,True,0.0,3526.25,3526.25
v2e2_01647af4ab413aad9430,qwen_flash,C2,True,True,True,,,False,False,True,0.0,3526.25,3526.25
v2e2_01647af4ab413aad9430,qwen_flash,S1,True,True,True,,,False,False,True,0.0,3526.25,3526.25
v2e2_01647af4ab413aad9430,qwen_flash,S2,True,True,True,,,False,False,True,0.0,3526.25,3526.25
v2e2_07ecea8c63a586f9fa3b,deepseek_formal,C1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_07ecea8c63a586f9fa3b,deepseek_formal,C2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_07ecea8c63a586f9fa3b,deepseek_formal,S1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_07ecea8c63a586f9fa3b,deepseek_formal,S2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_07ecea8c63a586f9fa3b,qwen_flash,C1,True,True,True,,,False,False,True,0.0,5437.5,5437.5
v2e2_07ecea8c63a586f9fa3b,qwen_flash,C2,True,True,True,,,False,False,True,0.0,5437.5,5437.5
v2e2_07ecea8c63a586f9fa3b,qwen_flash,S1,True,True,True,,,False,False,True,0.0,5437.5,5437.5
v2e2_07ecea8c63a586f9fa3b,qwen_flash,S2,True,True,True,,,False,False,True,0.0,5437.5,5437.5
v2e2_12b72852882928644d40,deepseek_formal,C1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_12b72852882928644d40,deepseek_formal,C2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_12b72852882928644d40,deepseek_formal,S1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_12b72852882928644d40,deepseek_formal,S2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_12b72852882928644d40,qwen_flash,C1,True,True,True,,,False,False,True,0.0,5375.0,5375.0
v2e2_12b72852882928644d40,qwen_flash,C2,True,True,True,,,False,False,True,0.0,5375.0,5375.0
v2e2_12b72852882928644d40,qwen_flash,S1,True,True,True,,,False,False,True,0.0,5375.0,5375.0
v2e2_12b72852882928644d40,qwen_flash,S2,True,True,True,,,False,False,True,0.0,5375.0,5375.0
v2e2_16b5f26ad506f7afac02,deepseek_formal,C1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_16b5f26ad506f7afac02,deepseek_formal,C2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_16b5f26ad506f7afac02,deepseek_formal,S1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_16b5f26ad506f7afac02,deepseek_formal,S2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_16b5f26ad506f7afac02,qwen_flash,C1,True,True,True,,,False,False,True,0.0,5062.5,5062.5
v2e2_16b5f26ad506f7afac02,qwen_flash,C2,True,True,True,,,False,False,False,5000.0,5062.5,5062.5
v2e2_16b5f26ad506f7afac02,qwen_flash,S1,True,True,True,,,False,False,False,2375.0,5062.5,5062.5
v2e2_16b5f26ad506f7afac02,qwen_flash,S2,True,True,True,,,False,False,True,0.0,5062.5,5062.5
v2e2_16c288d882ac6a326385,deepseek_formal,C1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_16c288d882ac6a326385,deepseek_formal,C2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_16c288d882ac6a326385,deepseek_formal,S1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_16c288d882ac6a326385,deepseek_formal,S2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_16c288d882ac6a326385,qwen_flash,C1,True,True,True,,,False,False,True,0.0,3450.0,3450.0
v2e2_16c288d882ac6a326385,qwen_flash,C2,True,True,True,,,False,False,False,2300.0,3450.0,5750.0
v2e2_16c288d882ac6a326385,qwen_flash,S1,True,True,True,,,False,False,False,2300.0,3450.0,5750.0
v2e2_16c288d882ac6a326385,qwen_flash,S2,True,True,True,,,False,False,False,2300.0,3450.0,5750.0
v2e2_1fd8536d13787e44dc17,deepseek_formal,C1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_1fd8536d13787e44dc17,deepseek_formal,C2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_1fd8536d13787e44dc17,deepseek_formal,S1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_1fd8536d13787e44dc17,deepseek_formal,S2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_1fd8536d13787e44dc17,qwen_flash,C1,True,True,True,,,False,False,True,0.0,5625.0,5625.0
v2e2_1fd8536d13787e44dc17,qwen_flash,C2,True,True,True,,,False,False,True,0.0,5625.0,5625.0
v2e2_1fd8536d13787e44dc17,qwen_flash,S1,True,True,True,,,False,False,True,0.0,5625.0,5625.0
v2e2_1fd8536d13787e44dc17,qwen_flash,S2,True,True,True,,,False,False,True,0.0,5625.0,5625.0
v2e2_20534de655a33fde87ca,deepseek_formal,C1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_20534de655a33fde87ca,deepseek_formal,C2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_20534de655a33fde87ca,deepseek_formal,S1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_20534de655a33fde87ca,deepseek_formal,S2,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
v2e2_20534de655a33fde87ca,qwen_flash,C1,True,True,True,,,False,False,True,0.0,3450.0,3450.0
v2e2_20534de655a33fde87ca,qwen_flash,C2,True,True,True,,,False,False,True,0.0,3450.0,3450.0
v2e2_20534de655a33fde87ca,qwen_flash,S1,True,True,True,,,False,False,True,0.0,3174.0,3174.0
v2e2_20534de655a33fde87ca,qwen_flash,S2,True,True,True,,,False,False,False,2576.0,3174.0,5750.0
v2e2_28d9724eea09520d5cd7,deepseek_formal,C1,True,True,True,fp_a18b46594c_prod0820_fp8_kvcache_20260402,a26a7955944dc5c60445bff77fac9c8e,True,False,True,0.0,0.0,0.0
