tier,block_id,scenario_id,model_condition,branch,replay_type,max_trace_abs_diff,abs_diff_terminal_soc_kwh,abs_diff_terminal_signed_error_kwh,abs_diff_terminal_absolute_error_kwh,abs_diff_total_violation_energy,abs_diff_action_energy_kwh,abs_diff_physical_cost_usd,all_flag_matches,match_dynamic_constraints_ok,match_engineering_feasible,match_strict_feasible,match_violation_interval_count
F1,e2bv2_02f8e9930d0e0232bdbc,v2e2_a7c71f5aa3db3e32fdd1,qwen_flash,C2,carrier_consistent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
F1,e2bv2_02f8e9930d0e0232bdbc,v2e2_a7c71f5aa3db3e32fdd1,qwen_flash,C2,authoritative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
F1,e2bv2_02f8e9930d0e0232bdbc,v2e2_a7c71f5aa3db3e32fdd1,qwen_flash,S2,carrier_consistent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
F1,e2bv2_02f8e9930d0e0232bdbc,v2e2_a7c71f5aa3db3e32fdd1,qwen_flash,S2,authoritative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
F1,e2bv2_02f8e9930d0e0232bdbc,v2e2_a7c71f5aa3db3e32fdd1,qwen_flash,C1,carrier_consistent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
F1,e2bv2_02f8e9930d0e0232bdbc,v2e2_a7c71f5aa3db3e32fdd1,qwen_flash,C1,authoritative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
F1,e2bv2_02f8e9930d0e0232bdbc,v2e2_a7c71f5aa3db3e32fdd1,qwen_flash,S1,carrier_consistent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
F1,e2bv2_02f8e9930d0e0232bdbc,v2e2_a7c71f5aa3db3e32fdd1,qwen_flash,S1,authoritative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
F1,e2bv2_063e4dae2070d79d92fc,v2e2_31906e8fff0262a0bd53,deepseek_formal,C2,carrier_consistent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
F1,e2bv2_063e4dae2070d79d92fc,v2e2_31906e8fff0262a0bd53,deepseek_formal,C2,authoritative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
F1,e2bv2_063e4dae2070d79d92fc,v2e2_31906e8fff0262a0bd53,deepseek_formal,S2,carrier_consistent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
F1,e2bv2_063e4dae2070d79d92fc,v2e2_31906e8fff0262a0bd53,deepseek_formal,S2,authoritative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
F1,e2bv2_063e4dae2070d79d92fc,v2e2_31906e8fff0262a0bd53,deepseek_formal,C1,carrier_consistent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
F1,e2bv2_063e4dae2070d79d92fc,v2e2_31906e8fff0262a0bd53,deepseek_formal,C1,authoritative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
F1,e2bv2_063e4dae2070d79d92fc,v2e2_31906e8fff0262a0bd53,deepseek_formal,S1,carrier_consistent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
F1,e2bv2_063e4dae2070d79d92fc,v2e2_31906e8fff0262a0bd53,deepseek_formal,S1,authoritative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
F1,e2bv2_074dcbf2a80e3ff78303,v2e2_28d9724eea09520d5cd7,qwen_flash,S1,carrier_consistent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
F1,e2bv2_074dcbf2a80e3ff78303,v2e2_28d9724eea09520d5cd7,qwen_flash,S1,authoritative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
F1,e2bv2_074dcbf2a80e3ff78303,v2e2_28d9724eea09520d5cd7,qwen_flash,C2,carrier_consistent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
F1,e2bv2_074dcbf2a80e3ff78303,v2e2_28d9724eea09520d5cd7,qwen_flash,C2,authoritative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
F1,e2bv2_074dcbf2a80e3ff78303,v2e2_28d9724eea09520d5cd7,qwen_flash,S2,carrier_consistent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
