tier,block_id,scenario_id,model_condition,branch,carrier,duplicate_index,branch_position,run_order,event_family,difficulty,season,location_id,activation_step,horizon_intervals,horizon_hours,canonical_soc_kwh,stale_soc_kwh,soc_gap_signed_kwh,soc_gap_abs_kwh,soc_gap_direction,divergence_kwh,parsed,action_digest,action_energy_kwh,exact_zero,nontrivial_1kwh,nontrivial_5kwh,nontrivial_10kwh,carrier_consistent_raw_feasible,authoritative_raw_feasible,carrier_power_violation_any,carrier_power_violation_peak_kw,carrier_power_violation_energy_kwh,carrier_soc_lower_violation_any,carrier_soc_lower_violation_peak_kwh,carrier_soc_lower_violation_sum_kwh_steps,carrier_soc_upper_violation_any,carrier_soc_upper_violation_peak_kwh,carrier_soc_upper_violation_sum_kwh_steps,carrier_export_violation_any,carrier_export_violation_peak_kw,carrier_export_violation_energy_kwh,carrier_terminal_violation_any,carrier_terminal_absolute_error_kwh,carrier_terminal_signed_error_kwh,carrier_violation_interval_count,carrier_total_violation_energy,carrier_dynamic_constraints_ok,carrier_engineering_feasible,carrier_physical_cost_usd,authoritative_power_violation_any,authoritative_power_violation_peak_kw,authoritative_power_violation_energy_kwh,authoritative_soc_lower_violation_any,authoritative_soc_lower_violation_peak_kwh,authoritative_soc_lower_violation_sum_kwh_steps,authoritative_soc_upper_violation_any,authoritative_soc_upper_violation_peak_kwh,authoritative_soc_upper_violation_sum_kwh_steps,authoritative_export_violation_any,authoritative_export_violation_peak_kw,authoritative_export_violation_energy_kwh,authoritative_terminal_violation_any,authoritative_terminal_absolute_error_kwh,authoritative_terminal_signed_error_kwh,authoritative_violation_interval_count,authoritative_total_violation_energy,authoritative_dynamic_constraints_ok,authoritative_engineering_feasible,authoritative_physical_cost_usd,returned_model,system_fingerprint,prompt_sha256,request_payload_sha256,attempt_count,latency_seconds,request_sent_utc,response_received_utc,request_start_epoch,response_end_epoch
QWEN37_F0,qwen37f0_01edd5e0d8aea97f864a,v2e2_7778cc641046e1b0a2cd,qwen37_plus_direct,S2,stale,2,1,2,forecast_revision,hard,autumn,san_diego,14,82,20.5,175.0,250.0,-75.0,75.0,canonical_lower,75.0,True,5c0c708a61f604449ab5c8ec83d342248b0014784588b49b5737d9232afbc189,205.0,False,True,True,True,False,False,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,True,119.75,119.75,0,0.0,True,False,428.67667049427797,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,True,44.75,44.75,0,0.0,True,False,428.67667049427797,qwen3.7-plus,,1b73555a5b301dc3304af0964477b642712cef1fdf5e08304313e01c747cf529,f00eacb8208dd59a980630ab730c881f17a8808566ca60c13295e2293abd77f6,1,3.106839,2026-08-26T14:13:19.743634+00:00,2026-08-26T14:13:22.850473+00:00,1787753599.743634,1787753602.850473
QWEN37_F0,qwen37f0_01edd5e0d8aea97f864a,v2e2_7778cc641046e1b0a2cd,qwen37_plus_direct,C1,canonical,1,2,2,forecast_revision,hard,autumn,san_diego,14,82,20.5,175.0,250.0,-75.0,75.0,canonical_lower,75.0,True,cd68c0f331e15792086ba1c94a088b39d7b497bf0c27dc619ad5570100148bc0,374.99994,False,True,True,True,False,False,False,0.0,0.0,False,0.0,0.0,True,31.2499430000006,128.35322200000576,False,0.0,0.0,True,206.2499430000006,206.2499430000006,8,128.35322200000576,False,False,437.0328541377193,False,0.0,0.0,False,0.0,0.0,True,31.2499430000006,128.35322200000576,False,0.0,0.0,True,206.2499430000006,206.2499430000006,8,128.35322200000576,False,False,437.0328541377193,qwen3.7-plus,,1c3f9297c8d9aed52aee0398529bbfbc6085b8d07c1f3cb40da5ce3ba7d6d813,7b10e4333d6a2b4badaeee05dac560c89b611829f4433948751b944a5a70190a,1,1.680182,2026-08-26T14:13:22.877507+00:00,2026-08-26T14:13:24.557689+00:00,1787753602.877507,1787753604.557689
QWEN37_F0,qwen37f0_01edd5e0d8aea97f864a,v2e2_7778cc641046e1b0a2cd,qwen37_plus_direct,S1,stale,1,3,2,forecast_revision,hard,autumn,san_diego,14,82,20.5,175.0,250.0,-75.0,75.0,canonical_lower,75.0,True,5c0c708a61f604449ab5c8ec83d342248b0014784588b49b5737d9232afbc189,205.0,False,True,True,True,False,False,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,True,119.75,119.75,0,0.0,True,False,428.67667049427797,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,True,44.75,44.75,0,0.0,True,False,428.67667049427797,qwen3.7-plus,,1b73555a5b301dc3304af0964477b642712cef1fdf5e08304313e01c747cf529,f00eacb8208dd59a980630ab730c881f17a8808566ca60c13295e2293abd77f6,1,1.211404,2026-08-26T14:13:24.584989+00:00,2026-08-26T14:13:25.796393+00:00,1787753604.584989,1787753605.796393
QWEN37_F0,qwen37f0_01edd5e0d8aea97f864a,v2e2_7778cc641046e1b0a2cd,qwen37_plus_direct,C2,canonical,2,4,2,forecast_revision,hard,autumn,san_diego,14,82,20.5,175.0,250.0,-75.0,75.0,canonical_lower,75.0,True,cd68c0f331e15792086ba1c94a088b39d7b497bf0c27dc619ad5570100148bc0,374.99994,False,True,True,True,False,False,False,0.0,0.0,False,0.0,0.0,True,31.2499430000006,128.35322200000576,False,0.0,0.0,True,206.2499430000006,206.2499430000006,8,128.35322200000576,False,False,437.0328541377193,False,0.0,0.0,False,0.0,0.0,True,31.2499430000006,128.35322200000576,False,0.0,0.0,True,206.2499430000006,206.2499430000006,8,128.35322200000576,False,False,437.0328541377193,qwen3.7-plus,,1c3f9297c8d9aed52aee0398529bbfbc6085b8d07c1f3cb40da5ce3ba7d6d813,7b10e4333d6a2b4badaeee05dac560c89b611829f4433948751b944a5a70190a,1,2.013281,2026-08-26T14:13:25.830110+00:00,2026-08-26T14:13:27.843391+00:00,1787753605.83011,1787753607.843391
QWEN37_F0,qwen37f0_1ce6e32bc06aa7dc6f53,v2e2_01647af4ab413aad9430,qwen37_plus_direct,C1,canonical,1,1,39,power_limit_derating,hard,winter,sacramento,5,91,22.75,175.0,250.0,-75.0,75.0,canonical_lower,75.0,True,4840ca57aadcf6e001372827c7984431da30c1a9438c2d6bb15cdab75bb5e325,45.5,False,True,True,True,False,False,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,True,106.77500000000052,-106.77500000000052,0,0.0,True,False,702.2773709560963,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,True,106.77500000000052,-106.77500000000052,0,0.0,True,False,702.2773709560963,qwen3.7-plus,,cd94ddfefbc2b632642e6b4267ec47ee9ebaa9229ca5cd400e149893650a67c7,b8616645680a601a9612d68542834778b10d9e8ed2f6e90bb6af7df004f1c9c8,1,2.176318,2026-08-26T14:13:58.590856+00:00,2026-08-26T14:14:00.767174+00:00,1787753638.590856,1787753640.767174
QWEN37_F0,qwen37f0_1ce6e32bc06aa7dc6f53,v2e2_01647af4ab413aad9430,qwen37_plus_direct,S1,stale,1,2,39,power_limit_derating,hard,winter,sacramento,5,91,22.75,175.0,250.0,-75.0,75.0,canonical_lower,75.0,True,67fa42b2757b619f8c8b27aacbf7cfd84403aec707d725536d3b0b4ea4358712,74.3925,False,True,True,True,False,False,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,True,4.327124999998034,-4.327124999998034,0,0.0,True,False,704.7787841238188,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,True,79.3271250000004,-79.3271250000004,0,0.0,True,False,704.7787841238188,qwen3.7-plus,,ee16c72384f956ac3fafe52c2b6c7b98368973d787b0bd248c103e5961d43942,8e59cb22ea5b87df78e6341e4aa1f2ee8761c82e5055df262e82dd1bf648579b,1,1.658755,2026-08-26T14:14:00.794232+00:00,2026-08-26T14:14:02.452987+00:00,1787753640.794232,1787753642.452987
QWEN37_F0,qwen37f0_1ce6e32bc06aa7dc6f53,v2e2_01647af4ab413aad9430,qwen37_plus_direct,C2,canonical,2,3,39,power_limit_derating,hard,winter,sacramento,5,91,22.75,175.0,250.0,-75.0,75.0,canonical_lower,75.0,True,4840ca57aadcf6e001372827c7984431da30c1a9438c2d6bb15cdab75bb5e325,45.5,False,True,True,True,False,False,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,True,106.77500000000052,-106.77500000000052,0,0.0,True,False,702.2773709560963,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,True,106.77500000000052,-106.77500000000052,0,0.0,True,False,702.2773709560963,qwen3.7-plus,,cd94ddfefbc2b632642e6b4267ec47ee9ebaa9229ca5cd400e149893650a67c7,b8616645680a601a9612d68542834778b10d9e8ed2f6e90bb6af7df004f1c9c8,1,2.053062,2026-08-26T14:14:02.481812+00:00,2026-08-26T14:14:04.534874+00:00,1787753642.481812,1787753644.534874
QWEN37_F0,qwen37f0_1ce6e32bc06aa7dc6f53,v2e2_01647af4ab413aad9430,qwen37_plus_direct,S2,stale,2,4,39,power_limit_derating,hard,winter,sacramento,5,91,22.75,175.0,250.0,-75.0,75.0,canonical_lower,75.0,True,1bf49b19d7a41d7aabe9a1bdfeb520e462026ca8c377003b72b2e2c4f58b7ca0,748.2474999999997,False,True,True,True,False,False,False,0.0,0.0,False,0.0,0.0,True,460.83512499999983,13824.009749999994,False,0.0,0.0,True,635.8351249999998,635.8351249999998,59,13824.009749999996,False,False,763.1188298151712,False,0.0,0.0,False,0.0,0.0,True,385.83512499999983,9722.821874999992,False,0.0,0.0,True,560.8351249999998,560.8351249999998,50,9722.821874999996,False,False,763.1188298151712,qwen3.7-plus,,ee16c72384f956ac3fafe52c2b6c7b98368973d787b0bd248c103e5961d43942,8e59cb22ea5b87df78e6341e4aa1f2ee8761c82e5055df262e82dd1bf648579b,1,1.131314,2026-08-26T14:14:04.561715+00:00,2026-08-26T14:14:05.693029+00:00,1787753644.561715,1787753645.693029
QWEN37_F0,qwen37f0_2af3869e046374defe64,v2e2_28d9724eea09520d5cd7,qwen37_plus_direct,S1,stale,1,1,6,reserve_commitment_update,medium,spring,los_angeles,6,90,22.5,175.0,250.0,-75.0,75.0,canonical_lower,75.0,True,1c8cde70e3e1aa134aa7de277c095dd675922c7fe4369123315008bcfe84f902,1874.9250000000002,False,True,True,True,False,False,False,0.0,0.0,False,0.0,0.0,True,1531.1787499999969,59999.94487499997,False,0.0,0.0,True,1706.1787499999969,1706.1787499999969,78,59999.944874999965,False,False,322.4182247876622,False,0.0,0.0,False,0.0,0.0,True,1456.178749999997,54302.07412499998,False,0.0,0.0,True,1631.178749999997,1631.178749999997,74,54302.07412499998,False,False,322.4182247876622,qwen3.7-plus,,9ed33e5d7732c2f3830c42cfb38c36e6d2100681d82d840eafd90e2ce77a9247,56ef45400eef7b2b72950d5fc0188b4d753a59a69ab4f2ba846ba2c192013665,1,8.002455,2026-08-26T14:13:21.078233+00:00,2026-08-26T14:13:29.080688+00:00,1787753601.078233,1787753609.080688
QWEN37_F0,qwen37f0_2af3869e046374defe64,v2e2_28d9724eea09520d5cd7,qwen37_plus_direct,C2,canonical,2,2,6,reserve_commitment_update,medium,spring,los_angeles,6,90,22.5,175.0,250.0,-75.0,75.0,canonical_lower,75.0,True,1fc95291c9e39ea5ecdba231eeb95be081b5196e4c811595e83ab97a0e852d4d,51.300000000000004,False,True,True,True,False,False,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,True,129.80250000000012,-129.80250000000012,0,0.0,True,False,260.18275373001234,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,True,129.80250000000012,-129.80250000000012,0,0.0,True,False,260.18275373001234,qwen3.7-plus,,ab3b1a07312f4c1e81f81aa70dfedfdfde19f7ce285b9178e866e39648fbb8de,4fb3b0ea1661735c9d3414587c53e523b40d66ac33ba43aba329dc9a928a84a1,1,1.953321,2026-08-26T14:13:29.108507+00:00,2026-08-26T14:13:31.061828+00:00,1787753609.108507,1787753611.061828
