tier,block_id,scenario_id,model_condition,run_order,branch_order,event_family,difficulty,season,location_id,activation_step,horizon_intervals,horizon_hours,canonical_soc_kwh,stale_soc_kwh,soc_gap_signed_kwh,soc_gap_abs_kwh,soc_gap_direction,divergence_kwh,B_kwh,Wc_kwh,Ws_kwh,ED_kwh,B_avg_kw,Wc_avg_kw,Ws_avg_kw,ED_avg_kw,B_fraction_pairwise_max,ED_fraction_theoretical_max,B_per_soc_gap,ED_per_soc_gap,B_per_battery_capacity,ED_per_battery_capacity,terminal_alignment_kwh,mpc_alignment_kwh,soc_direction_net_energy_kwh,canonical_minus_stale_net_energy_kwh,block_span_seconds,C_duplicate_start_gap_seconds,S_duplicate_start_gap_seconds,mean_latency_seconds,alignment_power_violation_peak_kw,alignment_power_violation_energy_kwh,alignment_soc_lower_violation_peak_kwh,alignment_soc_lower_violation_sum_kwh_steps,alignment_soc_upper_violation_peak_kwh,alignment_soc_upper_violation_sum_kwh_steps,alignment_export_violation_peak_kw,alignment_export_violation_energy_kwh,alignment_terminal_absolute_error_kwh,alignment_violation_interval_count,alignment_total_violation_energy
QWEN37_F1,qwen37f1_011f732c105348b17496,v2e2_4029a98e7ae402335d31,qwen37_plus_direct,61,C1-S1-C2-S2,export_limit_update,medium,spring,fresno,4,92,23.0,175.0,250.0,-75.0,75.0,canonical_lower,75.0,0.09544999999998183,0.0,0.006900000000065631,0.18399999999989802,0.00414999999999921,0.0,0.00030000000000285354,0.007999999999995566,8.29999999999842e-06,7.999999999995566e-06,0.0012726666666664243,0.002453333333331974,0.00019089999999996366,0.00036799999999979606,0.09067750000178876,0.08507499999973334,-0.09544999999998183,-0.09544999999998183,7.034865140914917,4.128295183181763,2.898313045501709,1.738845,0.0,0.0,0.0,0.0,0.09067750000178876,0.7806150000158709,0.0,0.0,0.09067750000178876,0.0,0.7806150000158709
QWEN37_F1,qwen37f1_043c12b7330e60ca555b,v2e2_28d9724eea09520d5cd7,qwen37_plus_direct,20,S1-C2-S2-C1,reserve_commitment_update,medium,spring,los_angeles,6,90,22.5,175.0,250.0,-75.0,75.0,canonical_lower,75.0,3412.484999999999,0.022500000000107434,3.937499999999936,6821.009999999998,151.66599999999997,0.0010000000000047748,0.17499999999999716,303.15599999999995,0.30333199999999994,0.3031559999999999,45.499799999999986,90.94679999999998,6.824969999999999,13.642019999999997,-3241.8607499999953,-2881.6540000000005,3412.4849999999988,3412.4849999999988,10.43291687965393,2.472184896469116,2.2164599895477295,2.5860245,0.0,0.0,0.0,0.0,-3241.8607499999953,-135554.3662062499,0.0,0.0,-3241.8607499999953,-73.5,-135554.36620624992
QWEN37_F1,qwen37f1_0f366cce0fb761f14bc8,v2e2_8e9a9550f230c7b3cff3,qwen37_plus_direct,36,S2-C1-S1-C2,forecast_revision,medium,summer,los_angeles,4,92,23.0,175.0,250.0,-75.0,75.0,canonical_lower,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.059000015258789,2.896399974822998,4.617592096328735,1.744654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QWEN37_F1,qwen37f1_143d4851945fe71e55d7,v2e2_729fd4e9cb1879f64d23,qwen37_plus_direct,37,C2-S2-C1-S1,forecast_revision,hard,winter,los_angeles,14,82,20.5,200.0,250.0,-50.0,50.0,canonical_lower,50.0,54.99996250000001,0.11992500000001183,109.88,1.4210854715202004e-14,2.6829250000000004,0.005850000000000577,5.359999999999999,6.932124251318051e-16,0.005365850000000001,6.932124251318051e-19,1.0999992500000002,2.842170943040401e-16,0.10999992500000001,2.842170943040401e-17,-52.249964374999934,-48.29264999999998,54.999962500000024,54.999962500000024,7.111253976821899,4.213819980621338,2.8964498043060303,1.7523585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.249964374999934,0.0,0.0
QWEN37_F1,qwen37f1_15b9580deeef7a90c854,v2e2_c577765fa5c45c1fea7a,qwen37_plus_direct,74,S2-C1-S1-C2,battery_capacity_derating,medium,autumn,san_diego,8,88,22.0,200.0,250.0,-50.0,50.0,canonical_lower,50.0,1648.2894999999999,2822.5009999999993,0.8800000000000008,473.19800000000043,74.92224999999999,128.29549999999998,0.040000000000000036,21.509000000000018,0.1498445,0.02150900000000002,32.96579,9.463960000000009,3.296579,0.9463960000000009,-1459.2490250000003,-1483.450980263158,1648.2894999999994,1648.2894999999994,5.346473932266235,2.5939831733703613,3.0445971488952637,1.31526325,0.0,0.0,0.0,0.0,-1437.5620250000002,-58432.07364375,0.0,0.0,-1459.2490250000003,-56.0,-58432.07364375
QWEN37_F1,qwen37f1_1763a30013826fd5f5e2,v2e2_aa86ae40329fa58392a5,qwen37_plus_direct,1,S2-C1-S1-C2,battery_capacity_derating,medium,spring,sacramento,13,83,20.75,350.0,250.0,100.0,100.0,canonical_higher,100.0,169.21625,227.00500000000002,5.1875,106.23999999999998,8.155,10.940000000000001,0.25,5.119999999999999,0.01631,0.005119999999999999,1.6921625,1.0623999999999998,0.3384325,0.21247999999999997,-81.37343749999906,-107.76625000000001,169.21625,-169.21625,7.972901105880737,2.578747034072876,4.95473313331604,1.9717444999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.37343749999906,0.0,0.0
QWEN37_F1,qwen37f1_1b7a51c9d887d40ffd14,v2e2_68ad1227a66cd68252f6,qwen37_plus_direct,19,S1-C2-S2-C1,power_limit_derating,easy,winter,fresno,4,92,23.0,175.0,250.0,-75.0,75.0,canonical_lower,75.0,361.56000000000006,0.0,0.0,723.1200000000001,15.720000000000002,0.0,0.0,31.440000000000005,0.03144,0.03144,4.820800000000001,9.641600000000002,0.7231200000000001,1.4462400000000002,-114.71300000000087,-337.9799999999998,361.56000000000006,361.56000000000006,10.896093130111694,2.7536089420318604,8.253715991973877,2.7010705,0.0,0.0,0.0,0.0,-54.097500000001105,-382.3881250000138,0.0,0.0,-114.71300000000087,-14.0,-382.3881250000138
QWEN37_F1,qwen37f1_1f77745ae5b9317d718c,v2e2_a49aba98f0f44c8c6622,qwen37_plus_direct,7,S2-C1-S1-C2,reserve_commitment_update,hard,autumn,los_angeles,15,81,20.25,300.0,250.0,50.0,50.0,canonical_higher,50.0,268.44007500000004,0.0,437.49315,99.38700000000006,13.256300000000001,0.0,21.6046,4.908000000000003,0.026512600000000004,0.004908000000000003,5.368801500000001,1.9877400000000012,0.5368801500000001,0.19877400000000012,253.11182124999974,202.15857499999947,268.440075,-268.440075,5.169262170791626,2.4608571529388428,2.4293010234832764,1.2549425,0.0,0.0,0.0,0.0,143.43709624999917,3494.893649999972,0.0,0.0,253.11182124999974,24.0,3494.8936499999727
QWEN37_F1,qwen37f1_1fc5085e99faac2363ac,v2e2_ac2a6bbea5f71d8219ff,qwen37_plus_direct,28,C1-S1-C2-S2,forecast_revision,medium,spring,sacramento,7,89,22.25,175.0,250.0,-75.0,75.0,canonical_lower,75.0,174.10625,14.462499999999968,0.0,333.75,7.824999999999999,0.6499999999999986,0.0,15.0,0.015649999999999997,0.015,2.3214166666666665,4.45,0.3482125,0.6675,165.40093750000028,142.80624999999986,-174.10625000000005,-174.10625000000005,6.336122035980225,3.655456066131592,3.208214044570923,1.56360975,0.0,0.0,0.0,0.0,165.40093750000028,3386.1712500000026,0.0,0.0,165.40093750000028,25.5,3386.1712500000026
QWEN37_F1,qwen37f1_27479db8834038d8e285,v2e2_d00d3a4d54f973fa24ac,qwen37_plus_direct,71,C2-S2-C1-S1,forecast_revision,medium,winter,sacramento,4,92,23.0,175.0,250.0,-75.0,75.0,canonical_lower,75.0,148.39945000000006,0.09890000000001464,296.7989,-0.09889999999990096,6.452150000000002,0.004300000000000637,12.904300000000001,-0.0042999999999956936,0.012904300000000006,-4.299999999995694e-06,1.9786593333333342,-0.001318666666665346,0.29679890000000014,-0.0001977999999998019,-65.22249999999946,-132.22500000000014,148.35000000000008,148.35000000000008,8.540534019470215,5.950648069381714,2.7337400913238525,2.113188,0.0,0.0,0.0,0.0,-15.577499999999247,-70.51499999999294,0.0,0.0,-65.22249999999946,-4.5,-70.51499999999294
QWEN37_F1,qwen37f1_27567cea2021f9a1a948,v2e2_a015340abe1151fa1614,qwen37_plus_direct,49,S1-C2-S2-C1,reserve_commitment_update,easy,summer,fresno,14,82,20.5,175.0,250.0,-75.0,75.0,canonical_lower,75.0,210.67542500000005,0.0,3.1508500000000126,418.2000000000001,10.276850000000003,0.0,0.15370000000000061,20.400000000000006,0.020553700000000005,0.020400000000000005,2.809005666666667,5.576000000000001,0.4213508500000001,0.8364000000000003,-200.1416537500009,-174.70645000000002,210.67542499999993,210.67542499999993,7.780848979949951,4.521404981613159,3.7654969692230225,1.91045225,0.0,0.0,0.0,0.0,-54.762500000001296,-351.48750000001417,0.0,0.0,-200.1416537500009,-12.0,-351.48750000001417
