tier,block_id,scenario_id,model_condition,branch,replay_type,max_trace_abs_diff,abs_diff_terminal_soc_kwh,abs_diff_terminal_signed_error_kwh,abs_diff_terminal_absolute_error_kwh,abs_diff_total_violation_energy,abs_diff_action_energy_kwh,abs_diff_physical_cost_usd,all_flag_matches,match_dynamic_constraints_ok,match_engineering_feasible,match_strict_feasible,match_violation_interval_count
QWEN37_F1,qwen37f1_011f732c105348b17496,v2e2_4029a98e7ae402335d31,qwen37_plus_direct,C1,carrier_consistent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
QWEN37_F1,qwen37f1_011f732c105348b17496,v2e2_4029a98e7ae402335d31,qwen37_plus_direct,C1,authoritative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
QWEN37_F1,qwen37f1_011f732c105348b17496,v2e2_4029a98e7ae402335d31,qwen37_plus_direct,S1,carrier_consistent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
QWEN37_F1,qwen37f1_011f732c105348b17496,v2e2_4029a98e7ae402335d31,qwen37_plus_direct,S1,authoritative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
QWEN37_F1,qwen37f1_011f732c105348b17496,v2e2_4029a98e7ae402335d31,qwen37_plus_direct,C2,carrier_consistent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
QWEN37_F1,qwen37f1_011f732c105348b17496,v2e2_4029a98e7ae402335d31,qwen37_plus_direct,C2,authoritative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
QWEN37_F1,qwen37f1_011f732c105348b17496,v2e2_4029a98e7ae402335d31,qwen37_plus_direct,S2,carrier_consistent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
QWEN37_F1,qwen37f1_011f732c105348b17496,v2e2_4029a98e7ae402335d31,qwen37_plus_direct,S2,authoritative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
QWEN37_F1,qwen37f1_043c12b7330e60ca555b,v2e2_28d9724eea09520d5cd7,qwen37_plus_direct,S1,carrier_consistent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
QWEN37_F1,qwen37f1_043c12b7330e60ca555b,v2e2_28d9724eea09520d5cd7,qwen37_plus_direct,S1,authoritative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
QWEN37_F1,qwen37f1_043c12b7330e60ca555b,v2e2_28d9724eea09520d5cd7,qwen37_plus_direct,C2,carrier_consistent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
QWEN37_F1,qwen37f1_043c12b7330e60ca555b,v2e2_28d9724eea09520d5cd7,qwen37_plus_direct,C2,authoritative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
QWEN37_F1,qwen37f1_043c12b7330e60ca555b,v2e2_28d9724eea09520d5cd7,qwen37_plus_direct,S2,carrier_consistent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
QWEN37_F1,qwen37f1_043c12b7330e60ca555b,v2e2_28d9724eea09520d5cd7,qwen37_plus_direct,S2,authoritative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
QWEN37_F1,qwen37f1_043c12b7330e60ca555b,v2e2_28d9724eea09520d5cd7,qwen37_plus_direct,C1,carrier_consistent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
QWEN37_F1,qwen37f1_043c12b7330e60ca555b,v2e2_28d9724eea09520d5cd7,qwen37_plus_direct,C1,authoritative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
QWEN37_F1,qwen37f1_0f366cce0fb761f14bc8,v2e2_8e9a9550f230c7b3cff3,qwen37_plus_direct,S2,carrier_consistent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
QWEN37_F1,qwen37f1_0f366cce0fb761f14bc8,v2e2_8e9a9550f230c7b3cff3,qwen37_plus_direct,S2,authoritative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
QWEN37_F1,qwen37f1_0f366cce0fb761f14bc8,v2e2_8e9a9550f230c7b3cff3,qwen37_plus_direct,C1,carrier_consistent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
QWEN37_F1,qwen37f1_0f366cce0fb761f14bc8,v2e2_8e9a9550f230c7b3cff3,qwen37_plus_direct,C1,authoritative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
QWEN37_F1,qwen37f1_0f366cce0fb761f14bc8,v2e2_8e9a9550f230c7b3cff3,qwen37_plus_direct,S1,carrier_consistent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
