model_condition,stratum,level,metric,n,mean,std,median,min,p10,p25,p75,p90,p95,max,positive,zero,negative,trimmed_mean_10pct,trimmed_mean_20pct,mean_drop_largest_1,mean_drop_largest_abs_1,mean_drop_largest_2,mean_drop_largest_abs_2,mean_drop_largest_5,mean_drop_largest_abs_5
qwen37_plus_direct,divergence_kwh,50.0,ED_kwh,20,743.3883750000001,2296.859620911222,46.26000000000004,-64.39999999999952,-0.518750000000204,0.0,225.6687500000001,1114.4340000000018,2649.3750000000055,10237.5,10,8,2,153.11593750000003,82.36641666666672,243.69828947368424,243.69828947368424,132.2370833333334,132.2370833333334,37.07563333333338,37.07563333333337
qwen37_plus_direct,divergence_kwh,50.0,ED_avg_kw,20,32.818761111111115,100.98177797504363,2.056000000000002,-2.7999999999999794,-0.025000000000008862,0.0,10.075000000000005,49.096000000000075,117.50000000000026,450.0,10,8,2,6.839076388888891,3.706351851851854,10.861853801169595,10.861853801169593,5.9097345679012365,5.909734567901237,1.6750814814814836,1.6750814814814836
qwen37_plus_direct,divergence_kwh,50.0,ED_per_soc_gap,20,14.867767500000003,45.93719241822444,0.9252000000000008,-1.2879999999999905,-0.010375000000004077,0.0,4.513375000000003,22.288680000000035,52.98750000000011,204.75,10,8,2,3.062318750000001,1.6473283333333344,4.873965789473685,4.8739657894736865,2.6447416666666683,2.6447416666666683,0.7415126666666675,0.7415126666666676
qwen37_plus_direct,divergence_kwh,50.0,soc_direction_net_energy_kwh,20,512.3868018749998,1501.3622231127817,194.111875,-2853.228750000001,-190.13137500000002,25.149971875000013,561.0768750000002,1739.3980500000007,2687.343750000002,5118.75,15,0,5,369.81061171875,249.32118020833335,269.94663355263145,269.94663355263157,142.75616874999994,443.4563770833333,-120.58223083333341,151.53301916666666
qwen37_plus_direct,divergence_kwh,50.0,terminal_alignment_kwh,20,102.48971218585511,1471.5654444837292,25.887368421050894,-2710.5673124999994,-1349.3083775000011,-168.1705937500002,169.83368750000147,470.9412641250029,2552.976562500002,4862.8125,10,0,10,-67.16301054893114,19.8603982264254,-148.053592435942,-148.053592435942,-291.35691701571653,-5.6917190990498945,-398.11562475219307,17.498972081140202
qwen37_plus_direct,divergence_kwh,50.0,alignment_total_violation_energy,20,5044.42885615131,64894.053581084554,23.625,-113182.08125,-55516.33080187501,-3061.348312500002,3542.0686749999795,16206.282039473801,115848.63281250007,220664.0625,10,2,8,-3655.8351083264874,211.3573692708279,-6303.972914577568,-6303.972914577569,-12783.750923720767,-366.3002292763227,-16300.046305833337,-220.0668238815857
qwen37_plus_direct,divergence_kwh,75.0,ED_kwh,20,542.7700289999999,1514.0913971368593,0.0,-178.0,-5.00648999999996,-0.02472500000001787,482.3550000000002,749.6340000000005,1279.8975000000041,6821.009999999998,9,6,5,202.10534875000005,150.8630666666667,212.33634631578948,212.3363463157895,169.22947666666673,169.22947666666673,62.61271333333337,62.61271333333337
qwen37_plus_direct,divergence_kwh,75.0,ED_avg_kw,20,24.363087999999998,67.28581173078987,0.0,-8.0,-0.21812999999999827,-0.0010750000000008181,22.63500000000001,35.47082400000001,56.42580000000018,303.15599999999995,9,6,5,9.317860000000003,6.954258333333335,9.689776842105266,9.689776842105266,7.814764444444448,7.814764444444446,3.0200266666666686,3.0200266666666686
qwen37_plus_direct,divergence_kwh,75.0,ED_per_soc_gap,20,7.236933720000001,20.18788529515813,0.0,-2.3733333333333335,-0.06675319999999947,-0.00032966666666690495,6.431400000000003,9.995120000000007,17.065300000000054,90.94679999999998,9,6,5,2.694737983333334,2.011507555555556,2.8311512842105264,2.831151284210527,2.2563930222222224,2.256393022222223,0.8348361777777785,0.8348361777777783
qwen37_plus_direct,divergence_kwh,75.0,soc_direction_net_energy_kwh,20,360.3287409999999,861.9925343970673,157.61250000000004,-494.13,-20.885120000000008,-0.023862499999995457,244.64593125000005,530.1540000000025,2115.7492500000008,3412.4849999999988,14,1,5,150.926629375,142.0282625,199.68893789473685,199.68893789473685,97.03276777777779,97.03276777777779,46.16882333333332,101.60482333333334
qwen37_plus_direct,divergence_kwh,75.0,terminal_alignment_kwh,20,-293.60769769999956,822.4368485798882,-69.60187500000009,-3241.8607499999953,-374.6399883750006,-140.00969718749963,0.6142581250014416,35.79767500000105,172.69096562500036,311.20149999999967,6,1,13,-72.61066509374979,-67.0442096041664,-325.43976073684166,-138.43648442105246,-352.70868841666623,-38.06490022222204,-425.06708176666626,-40.937649516666326
qwen37_plus_direct,divergence_kwh,75.0,alignment_total_violation_energy,20,-10806.884970674993,34953.959535157424,-107.23580550000132,-135554.36620624992,-10747.859374999989,-359.2126562500141,5.3199925000125745,1892.004750000008,3417.4720625000027,4012.1875,6,2,12,-219.24637232812242,-131.98584602083199,-11586.8361533421,-4241.228063539472,-12418.669897972215,216.1342662638914,-15021.159049899992,-63.4565471499972
qwen37_plus_direct,divergence_kwh,100.0,ED_kwh,20,3098.4977649999996,3724.9703870874364,1315.1775000000002,0.0,10.763999999999983,1003.875,3507.495000000001,9708.75,10023.75,10237.500000000002,18,2,0,2607.49720625,1913.0624000000005,2722.7608052631585,2722.7608052631585,2317.7752944444446,2317.7752944444446,1057.99792,1057.99792
qwen37_plus_direct,divergence_kwh,100.0,ED_avg_kw,20,137.39003000000002,164.65501141700423,57.93899999999999,0.0,0.4679999999999993,47.65,153.31500000000003,432.0,450.0,450.00000000000006,18,2,0,115.4875375,84.82288333333335,120.93687368421052,120.93687368421052,102.65558888888889,102.65558888888889,47.350306666666675,47.350306666666675
qwen37_plus_direct,divergence_kwh,100.0,ED_per_soc_gap,20,30.98497765,37.24970387087436,13.151775000000004,0.0,0.10763999999999982,10.03875,35.07495,97.0875,100.2375,102.37500000000001,18,2,0,26.074972062500002,19.130624,27.22760805263158,27.22760805263158,23.177752944444446,23.177752944444446,10.579979199999999,10.579979199999999
qwen37_plus_direct,divergence_kwh,100.0,soc_direction_net_energy_kwh,20,1728.9447637499998,2006.6604430420396,969.4237500000002,-1701.0125000000003,130.79587500000005,667.1007500000001,3486.28375,4955.625,5024.22825,5365.815000000002,18,0,2,1632.6768921874998,1356.9472833333332,1537.5305407894737,1537.5305407894734,1344.8239041666666,1344.8239041666664,731.5462433333335,731.5462433333335
qwen37_plus_direct,divergence_kwh,100.0,terminal_alignment_kwh,20,-958.1969448980259,2159.9419694859794,-79.26772203947203,-4993.41325,-4707.84375,-1294.7519309210525,87.09683138158023,309.20103750000226,1534.4601496710534,2467.541118421053,6,0,14,-835.4674932113481,-414.0649841776308,-1138.498948230609,-745.817139366343,-1284.2683689656426,-523.0326748866953,-1568.9447195131575,186.8559091491232
qwen37_plus_direct,divergence_kwh,100.0,alignment_total_violation_energy,20,-38106.538791608546,93836.60942933601,-125.85937499999748,-215980.46875,-205046.153125,-44611.37672039475,6193.790049342154,16948.121338157987,61080.03396381582,102714.42927631582,9,1,10,-31244.536256780422,-12402.96337855811,-45518.168689920356,-28744.753004324793,-51318.55306158259,-18794.966712898386,-63531.18166775876,12127.264526100887
