model_condition,objective_order,n,mean_cost_usd,median_cost_usd,mean_distance_kwh,median_distance_kwh,mean_retained_fraction,mean_runtime_seconds
deepseek_formal,cost_then_distance,20,457.6150000427148,388.8493261136572,936.3282238653071,476.90772998048806,0.7258184745466986,0.029353158149751833
deepseek_formal,direct_cost_optimal,20,457.61499919271483,388.84932511365713,936.3288725599929,476.9078947368421,0.7258184745466986,0.013731414705398492
deepseek_formal,distance_throughput_cost_saved,20,463.9966277567082,390.4894156246993,548.4135918943213,144.73689210526317,0.885281531456461,0.018723377051355784
deepseek_formal,minimum_intervention_distance_only,20,463.9966277567082,390.4894156246993,548.4135918943213,144.73689210526317,0.885281531456461,0.01885400630562799
qwen37_plus_direct,cost_then_distance,20,457.6150001927148,388.8493261136571,1377.8495507775701,947.2027864140885,0.020867663505139362,0.0380602708508377
qwen37_plus_direct,direct_cost_optimal,20,457.61499919271483,388.84932511365713,1384.7393055124653,954.1131578947368,0.007705862774255544,0.013731414705398492
qwen37_plus_direct,distance_throughput_cost_saved,20,461.0261960398294,391.37241361656936,972.6273975485037,247.32246842105252,0.3471716203739469,0.015658508299384265
qwen37_plus_direct,minimum_intervention_distance_only,20,461.0261960398293,391.37241361656936,972.6273975485037,247.32246842105252,0.3471716203739469,0.015745456352306064
qwen_flash,cost_then_distance,20,457.61500009271475,388.8493261136572,4684.379046185101,5420.559205840374,0.028804309265826767,0.02739237909700023
qwen_flash,direct_cost_optimal,20,457.61499919271483,388.84932511365713,4710.004494459834,5420.559210526317,0.0194518510135806,0.013731414705398492
qwen_flash,distance_throughput_cost_saved,20,460.7351153533917,390.4894156246993,4660.937504612352,5409.013160457155,0.0,0.019219818749115804
qwen_flash,minimum_intervention_distance_only,20,460.7351153533917,390.4894156246993,4660.937504612352,5409.013160457155,0.0,0.01954418739915127
